Referrer,Downloads
r.search.yahoo.com/_ylt=AwrJQ6DBuqZefmoAMwBwM4pQ;_ylu=X3oDMTByZzJoOXByBGNvbG8DaXIyBHBvcwM0BHZ0aWQDBHNlYwNzcg--/RV=2/RE=1588013889/RO=10/RU=https%3a%2f%2frepository.upenn.edu%2fcgi%2fviewcontent.cgi%3farticle%3d1025%26context%3dace/RK=2/RS=Dwt4Us7T6.bWA00B6ENv8bl7wO4-,1
repository.upenn.edu,1
repository.upenn.edu/ace/vol1/iss1/3/,1
repository.upenn.edu/ace/vol1/iss1/9/,1
duckduckgo.com/,1
repository.upenn.edu/ace/vol1/iss2/9/,1
repository.upenn.edu/ace/vol1/iss3/20/,1
repository.upenn.edu/ace/vol1/iss3/3/,1
repository.upenn.edu/ace/vol1/iss3/5/,1
repository.upenn.edu/ace/vol1/iss5/1/,1
repository.upenn.edu/ace/vol1/iss5/4/,1
scholar.google.co.id/,1
scholar.google.co.uk/,1
scholar.google.com.au/,1
scholar.google.com.br/scholar,1
scholar.google.com.hk/,1
scholar.google.com.pk/,1
scholar.google.com.tr/,1
scholar.google.com.tw/,1
scholar.google.de/,1
scholar.google.es/,1
sci-hub.se/,1
search.earthlink.net/search,1
search.yahoo.com/,1
stage.intranet.lerner.ccf.org/inventor_resources/,1
uk.search.yahoo.com/,1
www.google.ch/,1
www.google.co.in/url,1
www.google.co.kr/url,1
www.google.co.th/,1
www.google.co.za/,1
www.google.com.br/,1
www.google.com.sa/,1
www.google.com.sg/,1
www.google.com.tw/url,1
www.google.com.ua/,1
www.google.dk/,1
www.google.it/,1
www.google.pt/,1
https%3A%2F%2Fscholar.google.com%2Fscholar%3Fhl%3Den%26as_sdt%3D0%252C5%26as_ylo%3D2019%26q%3Dsbir%2Bgrant%26oq%3DSBIR%2B,1
